lat,lng,population
16.1619,94.7014,1667
14.098,98.195,146212
12.4541,98.6115,266720
15.2533,97.8679,50798
23.0837,97.4,48591
17.6483,95.4679,180728
16.7547,96.5193,52496
17.32,96.515,284318
16.7704,94.75,237089
17.0433,95.6429,36172
16.6133,95.1829,48405
18.8165,95.2114,135308
20.9085,94.823,90870
25.3596,97.3928,139100
22.105,95.15,226222
19.7666,96.1186,930000
19.665,97.206,17293
20.4615,94.881,110553
19.429,93.5494,4261
20.1445,94.9196,125973
22.5783,95.6929,88914
21.88,95.962,78739
21.4618,95.3914,163812
21.332,95.0866,126938
21.97,96.085,1300000
20.782,97.038,160115
18.4779,96.4379,40386
18.9483,96.4179,106945
17.7819,95.7415,176571
20.14,92.88,179032
16.85,97.6167,50000
22.65,93.6167,20000
48.9337,89.95,34934
45.75,106.266,2984
47.9167,106.9166,885000
49.6453,100.1544,27690
49.6167,106.35,74738
49.0533,104.1183,79647
47.75,96.8167,8056
46.3611,108.3611,
46.3722,96.2583,
44.8666,110.15,8776
48.0666,114.506,33376
49.9833,92.0666,35796
48.8106,103.5317,17348
46.25,102.7666,28053
47.4769,101.4502,19812
46.3,100.9833,26252
49.4867,105.9228,
48.8666,106.4666,18830
47.711,106.947,17738
47.3167,110.65,14723
43.5836,104.4403,15093
44.3337,111.2333,3726
48.9664,96.7833,10
46.7,113.2833,15805
50.25,106.2,24235
48.0166,91.6333,30500
22.203,113.545,568700
14.6104,-61.08,253995
16.5904,-14.27,10415
25.3804,-5.78,10
17.5504,-14.7,14142
16.2504,-8.1666,245
25.2333,-11.5833,10
22.679,-12.707,5760
15.167,-12.1833,460
17.058,-13.909,8388
19.747,-14.391,370
16.62,-11.4,73930
16.6171,-7.25,200000
20.9,-17.056,86738
16.524,-15.8127,47203
18.55,-11.4166,19981
20.5166,-13.05,44265
16.1503,-13.5037,
22.7304,-12.4833,56345
18.0583,-15.9621,
18.0973,-15.9327,
18.0989,-15.9885,
18.0864,-15.9753,742144
16.6666,-9.6167,1423
16.7,-62.2167,
35.8258,14.5269,
35.8669,14.5619,
35.8419,14.5431,
35.8422,14.4853,
35.8947,14.495,
35.8558,14.5331,
35.8897,14.4425,
35.9306,14.4764,
35.8719,14.4411,
35.8992,14.4944,
35.9125,14.5019,
36.0556,14.2036,
35.8461,14.4672,
35.8869,14.4025,
36.0361,14.3094,
35.8933,14.3989,
35.8311,14.4742,
35.8492,14.5031,
36.0244,14.2428,
35.8997,14.5147,368250
35.8761,14.535,
35.8589,14.4886,
35.8783,14.4719,
35.9206,14.3664,
35.9483,14.4006,
35.8347,14.4583,
36.03,14.2333,
35.8847,14.4844,
35.9136,14.4436,
35.8489,14.5167,
36.0578,14.2264,
36.0444,14.2397,
35.9092,14.4522,
35.9242,14.4519,
35.8614,14.3822,
35.8556,14.4364,
36.0328,14.2581,
35.9006,14.4464,
35.8331,14.4847,
